alignment_result_file	barcode_id	ref_accno	ref_cCC	ref_len	ref_pos	ref_stretch	odd_CC	odd_accno	odd_len	odd_pos	odd_stretch	same_allowed_stretching	stretchfactor	used_theory
Ssaprophyticus_G+2_190123_HCAv3.1.1_130nm_518bpPERpixel.txt	x1_6x_G_nr2_time3_Fragment_8_ZVIExport_09_molecule_1_kymograph_	NZ_CP014113.2	0.841990037	653	4909	1.02	0.805178392	NC_009616.1	608	1195	0.95	yes	0.251	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Sauresus_G+1_181126_HCAv3.1.1_130nm_491bpPERpixel.txt	x1_6x_Gpos_Fragment_15_ZVIExport_15_molecule_1_kymograph_tif	NC_017333.1	0.74242941	703	3564	0.95	0.854912713	NZ_LN908213.1	747	5745	1.01	yes	0.265	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Sauresus_G+1_181126_HCAv3.1.1_130nm_491bpPERpixel.txt	x1_6x_Gpos_Fragment_21_ZVIExport_21_molecule_1_kymograph_tif	NZ_LT992434.1	0.878858603	686	4571	1.05	0.839063707	NC_009616.1	620	1262	0.95	yes	0.265	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Paeruginousa_O4_190211_HCAv3.1.1_130nm_496bpPERpixel.txt	x1_6x_O4_stain2_Fragment_5_ZVIExport_05_molecule_1_kymograph_ti	NZ_CP022525.1	0.549322491	642	291	0.95	0.820032867	NZ_CP010480.1	669	2950	0.99	yes	0.262	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Kpneumoniae_DA14737_180919_HCAv3.1.1_130nm_481bpPERpixel.txt	x1_6x_ProvK1_8_ZVIExport_23_molecule_1_kymograph_tif	NZ_CP015025.1	0.740708502	624	7910	0.95	0.838082589	NZ_CP021780.1	624	8556	0.95	yes	0.27	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Ecoli_DA32087_180815_HCAv3.1.1_130nm_476bpPERpixel.txt	x1_6x_ProvK3_1_ZVIExport_84_molecule_1_kymograph_tif	NZ_CP019558.1	0.627439642	645	9758	0.97	0.814666209	NZ_CP021780.1	692	8136	1.04	yes	0.273	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Paeruginousa_DA62688,Urin_190109_HCAv3.1.1_208nm_1061bpPERpixel.txt	x1x_DA62688_Fragment_6_ZVIExport_58_molecule_1_kymograph_tif	NZ_CP008869.2	0.710458024	734	1979	0.97	0.804377804	NZ_CP032538.1	772	2392	1.02	yes	0.196	Ref_Theory_ncbi_chromosomes_181022_208nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePmirabilisPaeruginousa_25,25,25,25_181210_HCAv3.1.1_130nm_533bpPERpixel.txt	x25252525_1_6x_Fragment_36_ZVIExport_49_molecule_1_kymograph_ti						0.820425628	NZ_CP017775.1	686	1885	0.99	yes	0.244	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniae_10,90_181022_HCAv3.1.1_130nm_670bpPERpixel.txt	x9010dil_1_6x_Fragment_1_ZVIExport_48_molecule_1_kymograph_tif						0.886490437	NC_017856.1	593	1295	0.96	yes	0.194	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniae_10,90_181022_HCAv3.1.1_130nm_670bpPERpixel.txt	x9010dil_1_6x_Fragment_24_ZVIExport_13_molecule_4_kymograph_tif						0.840710678	NZ_CP012312.1	715	2773	0.97	yes	0.194	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniae_10,90_181022_HCAv3.1.1_130nm_670bpPERpixel.txt	x9010dil_1_6x_Fragment_27_ZVIExport_09_molecule_5_kymograph_tif						0.854652288	NZ_CP029614.1	688	1591	0.95	yes	0.194	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
